Macrotrends Data Download

Brazil GDP 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,17.030465539391,232.9988
1961-12-31,17.275940449384,229.3368,8.6
1962-12-31,19.231747851533,247.8343,6.6
1963-12-31,23.2877128782,291.404,0.6
1964-12-31,20.963733694975,254.8386,3.4
1965-12-31,22.465522884099,265.4754,2.4
1966-12-31,28.283323733111,325.1731,6.7
1967-12-31,31.086389194961,348.0211,4.2
1968-12-31,33.930457425261,370.1804,9.8
1969-12-31,37.171640818586,395.4414,9.5
1970-12-31,42.327664793693,439.2209,10.4
1971-12-31,48.869830901788,494.8027,11.3429
1972-12-31,58.43485837487,577.4515,11.9403
1973-12-31,83.592275862998,806.3545,13.9687
1974-12-31,109.79451972754,1034.1644,8.1539
1975-12-31,129.20355523883,1188.6195,5.1666
1976-12-31,153.16894920821,1376.3479,10.2571
1977-12-31,176.34410140194,1547.6942,4.9343
1978-12-31,200.27864612358,1716.7077,4.9699
1979-12-31,221.33820448022,1853.0197,6.7596
1980-12-31,237.39348989264,1941.2595,9.2
1981-12-31,258.01517474865,2061.35,-4.25
1982-12-31,271.31411376842,2118.5641,0.83
1983-12-31,189.65650632143,1448.0097,-2.93
1984-12-31,188.33997408658,1406.6898,5.4
1985-12-31,210.87984463888,1541.7089,7.85
1986-12-31,256.48085247113,1836.685,7.49
1987-12-31,283.05683689384,1986.8341,3.53
1988-12-31,307.88193075227,2119.6111,-0.06
1989-12-31,412.99082028742,2790.4142,3.16
1990-12-31,464.98909814485,3085.3962,-4.35
1991-12-31,407.72905301891,2659.0486,1.0322
1992-12-31,390.56656175267,2505.225,-0.5441
1993-12-31,438.29950446302,2766.3285,4.9247
1994-12-31,546.22974972626,3393.1429,5.8529
1995-12-31,769.33333043952,4704.9615,4.2238
1996-12-31,850.42643299174,5121.9054,2.2089
1997-12-31,883.20645283281,5240.1288,3.3948
1998-12-31,863.71100733868,5049.7661,0.3381
1999-12-31,599.64207503905,3456.4236,0.4679
2000-12-31,655.44818824611,3726.8114,4.3879
2001-12-31,559.98370407566,3142.2355,1.3899
2002-12-31,509.79527070727,2824.7154,3.0535
2003-12-31,558.23372416074,3056.6497,1.1408
2004-12-31,669.28932195368,3623.2239,5.76
2005-12-31,891.63382658261,4773.2685,3.2021
2006-12-31,1107.6267114364,5866.0243,3.962
2007-12-31,1397.1142472876,7323.1903,6.0699
2008-12-31,1695.8553918165,8801.7595,5.0942
2009-12-31,1666.9962943248,8569.9018,-0.1258
2010-12-31,2208.8381085932,11249.2937,7.5282
2011-12-31,2616.1566067345,13200.5582,3.9744
2012-12-31,2465.2282938626,12327.5156,1.9212
2013-12-31,2472.819362259,12258.5648,3.0048
2014-12-31,2456.0437660635,12071.4047,0.504
2015-12-31,1802.2119995556,8783.2144,-3.5458
2016-12-31,1795.6932658243,8680.7354,-3.2759
2017-12-31,2063.5146887617,9896.7175,1.3229
2018-12-31,1916.9337084042,9121.0201,1.7837
2019-12-31,1873.2881590006,8845.3239,1.2208
2020-12-31,1476.1072920366,6923.7002,-3.2768
2021-12-31,1649.6229721594,7696.7855,4.9888
2022-12-31,1920.0955609951,8917.6739,2.9005
